iter	Logloss	F1
0	0.5676708536	0.5881324172
1	0.5390760644	0.5881324172
2	0.5240190625	0.5881324172
3	0.4089156263	0.8828018
4	0.4013856525	0.8734314791
5	0.377292211	0.8340843916
6	0.343073609	0.8358086654
7	0.3376309495	0.822065533
8	0.324896636	0.8085240395
9	0.3135976663	0.8209389281
10	0.2763756147	0.8606425703
11	0.2633896053	0.8603015075
12	0.2618888436	0.8529233259
13	0.2603676402	0.8478194572
14	0.2598543425	0.8443809912
15	0.2596068232	0.8358331621
16	0.2589651035	0.8313563693
17	0.24647049	0.8454869964
18	0.2199410749	0.8988129986
19	0.2195625982	0.8973109899
20	0.2139309921	0.8950502782
21	0.2115244098	0.8976331937
22	0.2100391029	0.894875549
23	0.2098750265	0.8943359375
24	0.2098289878	0.8934714621
25	0.2097992193	0.892388965
26	0.2072523647	0.8935587919
27	0.1953731385	0.8959328977
28	0.1951158219	0.8936253422
29	0.1206867029	0.9772953415
30	0.09965124487	0.9773919334
31	0.09725170422	0.9765589646
32	0.09604884698	0.9760028978
33	0.09504249668	0.9750747757
34	0.08783747891	0.9831849654
35	0.08279117685	0.9864658959
36	0.08250814851	0.9862841775
37	0.07898447978	0.986102394
38	0.07890902148	0.9857386313
39	0.07881917406	0.985556652
40	0.07867846762	0.9851014181
41	0.0784172619	0.9851898393
42	0.07840530093	0.9850987433
43	0.07048800452	0.9858270542
44	0.06893030468	0.9858270542
45	0.06889203877	0.9857360725
46	0.06635045811	0.9877339063
47	0.05735933374	0.9878267096
48	0.05640313012	0.9878267096
49	0.05138926114	0.9876432665
