iter	Passed	Remaining
0	67	3292
1	84	2020
2	101	1586
3	116	1340
4	129	1167
5	144	1059
6	159	977
7	174	913
8	187	856
9	204	816
10	216	766
11	228	725
12	243	691
13	257	661
14	272	635
15	287	610
16	302	587
17	316	563
18	329	536
19	342	513
20	356	491
21	370	471
22	382	448
23	403	437
24	412	412
25	419	387
26	426	363
27	432	339
28	438	317
29	444	296
30	451	276
31	457	257
32	463	238
33	470	221
34	478	204
35	488	189
36	504	177
37	509	161
38	516	145
39	522	130
40	528	116
41	533	101
42	539	87
43	545	74
44	550	61
45	556	48
46	561	35
47	567	23
48	573	11
49	580	0
